datetime,open,high,low,close,volume
10-10-24 13:45,2618.06,2618.45,2616.95,2617.92,1158
10-10-24 14:00,2617.92,2618.86,2616.43,2617.49,1500
10-10-24 14:15,2617.49,2617.73,2613.34,2614.12,1802
10-10-24 14:30,2614.11,2614.26,2611.21,2612.55,2147
10-10-24 14:45,2612.55,2613.23,2611.83,2612.99,2070
10-10-24 15:00,2613.04,2615.1,2612.79,2614.13,2466
10-10-24 15:15,2614.13,2615.35,2612.1,2612.11,2681
10-10-24 15:30,2612.09,2624.55,2602.37,2621.06,7768
10-10-24 15:45,2621.06,2627.22,2620.1,2625.02,6508
10-10-24 16:00,2625.03,2627.71,2619.69,2620.09,6369
10-10-24 16:15,2620.1,2620.64,2617.34,2617.64,5748
10-10-24 16:30,2617.63,2623.22,2615.71,2617.25,5853
10-10-24 16:45,2617.23,2627.96,2617.2,2626.71,5808
10-10-24 17:00,2626.7,2629.76,2623.97,2626.67,5204
10-10-24 17:15,2626.68,2629.69,2623.06,2624.37,4850
10-10-24 17:30,2624.34,2626.23,2623.04,2625.59,4948
10-10-24 17:45,2625.59,2626.39,2622.71,2625.45,4079
10-10-24 18:00,2625.43,2626.1,2622.19,2624.74,4008
10-10-24 18:15,2624.74,2626.15,2621.06,2624.5,3326
10-10-24 18:30,2624.48,2624.54,2618.8,2620.48,3252
10-10-24 18:45,2620.52,2623.77,2620.46,2623.57,2700
10-10-24 19:00,2623.57,2628.34,2623.5,2628.34,2966
10-10-24 19:15,2628.29,2629.06,2626.43,2627.34,2377
10-10-24 19:30,2627.34,2628.6,2623.74,2624.08,2436
10-10-24 19:45,2624.09,2624.42,2618.72,2619.28,3928
10-10-24 20:00,2619.26,2620.09,2616.49,2618.04,3862
10-10-24 20:15,2618.07,2622.74,2617.38,2622.15,3326
10-10-24 20:30,2622.14,2626.22,2622.12,2625.42,2462
10-10-24 20:45,2625.42,2626.23,2623.28,2623.82,2538
10-10-24 21:00,2623.81,2625.41,2623.55,2624.3,1541
10-10-24 21:15,2624.3,2626.16,2623.33,2625.14,1647
10-10-24 21:30,2625.15,2628.91,2624.88,2628.49,1695
10-10-24 21:45,2628.49,2629.07,2625.75,2626.43,1724
10-10-24 22:00,2626.38,2630.33,2625.93,2629.8,2226
10-10-24 22:15,2629.79,2630.93,2629.45,2630.73,1532
10-10-24 22:30,2630.75,2631.37,2628.63,2629.8,1305
10-10-24 22:45,2629.77,2629.92,2628.28,2629.11,1252
10-10-24 23:00,2629.03,2630.45,2629.03,2629.34,622
10-10-24 23:15,2629.34,2630.66,2628.99,2630.22,557
10-10-24 23:30,2630.23,2631.47,2628.76,2629.38,518
10-10-24 23:45,2629.38,2629.68,2629.03,2629.1,173
11-10-24 1:00,2628.47,2629.12,2628.24,2628.85,363
11-10-24 1:15,2628.85,2629.05,2628.11,2628.16,412
11-10-24 1:30,2628.16,2628.64,2628.14,2628.54,190
11-10-24 1:45,2628.49,2628.8,2628.22,2628.22,241
11-10-24 2:00,2628.22,2630.15,2628.22,2630.06,930
11-10-24 2:15,2630.04,2633.14,2630,2632.35,974
11-10-24 2:30,2632.36,2635.91,2632.16,2633.75,1218
11-10-24 2:45,2633.72,2633.72,2632.21,2633.14,780
11-10-24 3:00,2633.15,2634.3,2632.85,2633.36,1887
11-10-24 3:15,2633.35,2634.18,2632.12,2632.87,1863
11-10-24 3:30,2632.84,2634.23,2632.01,2633.83,1376
11-10-24 3:45,2633.87,2634.39,2632.33,2633.78,1803
11-10-24 4:00,2633.79,2635.88,2632.91,2633.85,3146
11-10-24 4:15,2633.84,2636.72,2633.07,2634.62,2682
11-10-24 4:30,2634.62,2636.14,2633.52,2635.87,2124
11-10-24 4:45,2635.87,2637.98,2635.04,2637.78,2628
11-10-24 5:00,2637.76,2637.76,2635.25,2636.15,2277
11-10-24 5:15,2636.16,2640.54,2635.36,2640.48,2914
11-10-24 5:30,2640.47,2642.33,2639.19,2641.77,2714
11-10-24 5:45,2641.78,2644.09,2641.53,2642.35,2380
11-10-24 6:00,2642.31,2644.13,2641.22,2641.29,1924
11-10-24 6:15,2641.3,2642.21,2640.62,2641.54,1887
11-10-24 6:30,2641.55,2643.97,2640.85,2643.48,1338
11-10-24 6:45,2643.59,2646.02,2643.03,2645.45,1372
11-10-24 7:00,2645.49,2645.53,2643.82,2645.39,1078
11-10-24 7:15,2645.42,2645.77,2644.81,2645.42,748
11-10-24 7:30,2645.45,2646,2644.9,2645.57,906
11-10-24 7:45,2645.56,2646.01,2645.28,2645.6,620
11-10-24 8:00,2645.55,2645.93,2644,2644.61,864
11-10-24 8:15,2644.61,2645.01,2644.3,2644.48,880
11-10-24 8:30,2644.49,2645.69,2643.14,2645.14,1672
11-10-24 8:45,2645.14,2645.46,2643.74,2644.72,1529
11-10-24 9:00,2644.71,2645.33,2643.4,2644.75,1606
11-10-24 9:15,2644.75,2647.16,2641.62,2642.7,3589
11-10-24 9:30,2642.74,2643.05,2639.5,2639.63,2848
11-10-24 9:45,2639.63,2640.74,2638.03,2639.49,2992
11-10-24 10:00,2639.44,2641.28,2638.36,2641.28,1902
11-10-24 10:15,2641.28,2642.8,2639.1,2642.66,1755
11-10-24 10:30,2642.57,2644.16,2640.62,2643.95,2022
11-10-24 10:45,2643.99,2645.55,2643.65,2645.39,1875
11-10-24 11:00,2645.36,2646.16,2642.48,2642.52,1770
11-10-24 11:15,2642.51,2643.05,2640.74,2641.36,1651
11-10-24 11:30,2641.37,2641.92,2640.27,2640.66,1428
11-10-24 11:45,2640.65,2641.03,2639.08,2639.2,1155
11-10-24 12:00,2639.24,2641.62,2639.12,2640.24,1467
11-10-24 12:15,2640.22,2640.83,2636.14,2636.9,2136
11-10-24 12:30,2636.89,2638.88,2636.43,2637.96,1815
11-10-24 12:45,2637.97,2638.28,2637.01,2637.9,983
11-10-24 13:00,2637.88,2638.79,2637.05,2637.07,1017
11-10-24 13:15,2637.06,2638.87,2637.06,2638.75,1055
11-10-24 13:30,2638.72,2640.89,2638.69,2640.41,1012
11-10-24 13:45,2640.42,2642.22,2639.53,2641.58,1876
11-10-24 14:00,2641.59,2641.71,2639.33,2639.65,1245
11-10-24 14:15,2639.64,2640.99,2639.31,2639.6,1075
11-10-24 14:30,2639.56,2640.73,2638.68,2640.56,1193
11-10-24 14:45,2640.56,2644.81,2640.56,2644.7,2284
11-10-24 15:00,2644.7,2646.55,2644.61,2645.24,2380
11-10-24 15:15,2645.24,2648.18,2644.95,2645.29,2246
11-10-24 15:30,2645.29,2650.08,2641.64,2642.5,5482
11-10-24 15:45,2642.5,2643.76,2640.59,2643.03,4795
11-10-24 16:00,2643.13,2647.85,2642.61,2647.54,4208
11-10-24 16:15,2647.57,2649.91,2646.56,2646.89,4094
11-10-24 16:30,2646.92,2653.36,2646.1,2650.09,4919
11-10-24 16:45,2650.09,2651.8,2647.33,2649.72,3747
11-10-24 17:00,2649.29,2651.86,2646.44,2651.69,4580
11-10-24 17:15,2651.68,2653.49,2649.43,2652.72,4103
11-10-24 17:30,2652.73,2655.24,2651.94,2653.52,3459
11-10-24 17:45,2653.52,2653.52,2651.09,2653.09,3336
11-10-24 18:00,2653.09,2657.46,2653.07,2657.04,3572
11-10-24 18:15,2657.03,2658.66,2656.34,2658.61,2850
11-10-24 18:30,2658.62,2659.23,2656.33,2658.53,2387
11-10-24 18:45,2658.57,2658.77,2656.48,2658.76,1700
11-10-24 19:00,2658.76,2659.91,2657.87,2658.5,1607
