Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL at Exit,Exit Reason,PnL ($),Equity ($)
1273,2024-10-02 17:15:00,2024-10-02 18:15:00,Short,2654.36,2647.1,0.27,2661.61,Opposite Signal,196.02,14266.89
1274,2024-10-02 18:15:00,2024-10-03 03:00:00,Long,2647.1,2659.34,0.24,2639.01,Opposite Signal,293.76,14560.65
1275,2024-10-03 03:00:00,2024-10-03 04:45:00,Short,2659.34,2658.19,0.74,2662.02,Opposite Signal,85.1,14645.75
1276,2024-10-03 04:45:00,2024-10-03 05:00:00,Long,2658.19,2655.91,0.71,2655.4,Opposite Signal,-161.88,14483.87
1277,2024-10-03 05:00:00,2024-10-03 05:15:00,Short,2655.91,2658.12,0.68,2658.84,Opposite Signal,-150.28,14333.59
1278,2024-10-03 05:15:00,2024-10-03 05:45:00,Long,2658.12,2655.79,0.66,2655.1,Opposite Signal,-153.78,14179.81
1279,2024-10-03 05:45:00,2024-10-03 06:30:00,Short,2655.79,2656.84,0.67,2658.74,Opposite Signal,-70.35,14109.46
1280,2024-10-03 06:30:00,2024-10-03 08:00:00,Long,2656.84,2654.64,0.65,2653.81,Opposite Signal,-143.0,13966.46
1281,2024-10-03 08:00:00,2024-10-03 09:15:00,Short,2654.64,2655.63,0.72,2657.39,Opposite Signal,-71.28,13895.18
1282,2024-10-03 09:15:00,2024-10-03 10:00:00,Long,2655.63,2654.02,0.63,2652.46,Opposite Signal,-101.43,13793.75
1283,2024-10-03 10:00:00,2024-10-03 10:30:00,Short (Partial 50%),2654.02,2647.1,0.28,2654.02,Partial TP 1:2,193.69,13987.44
