Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL,Exit Reason,PnL ($),Equity ($)
217,2026-02-11 07:50:00,2026-02-11 08:05:00,Short,5047.24,5054.49,0.27,5054.49,Stop Loss,-195.63,97495.88
218,2026-02-11 08:55:00,2026-02-11 09:20:00,Long,5064.11,5055.8,0.24,5055.8,Stop Loss,-199.53,97296.35
219,2026-02-11 14:30:00,2026-02-11 19:10:00,Short,5084.25,5085.07,0.14,5097.88,Opposite Signal,-11.48,97284.87
220,2026-02-11 19:10:00,2026-02-11 20:10:00,Long,5085.07,5070.46,0.13,5070.46,Stop Loss,-189.91,97094.96
221,2026-02-11 23:30:00,2026-02-12 01:00:00,Short,5076.77,5085.65,0.22,5085.65,Stop Loss,-195.27,96899.69
222,2026-02-12 01:00:00,2026-02-12 01:05:00,Long,5094.81,5084.8,0.19,5084.8,Stop Loss,-190.14,96709.55
223,2026-02-12 01:10:00,2026-02-12 06:55:00,Short,5062.58,5069.35,0.14,5076.63,Opposite Signal,-94.78,96614.77
224,2026-02-12 06:55:00,2026-02-12 08:20:00,Long,5069.35,5061.47,0.25,5061.47,Stop Loss,-196.88,96417.89
225,2026-02-12 08:25:00,2026-02-12 09:05:00,Short,5055.37,5064.49,0.21,5064.49,Stop Loss,-191.5,96226.39
226,2026-02-12 10:05:00,2026-02-12 10:20:00,Long,5072.45,5064.42,0.24,5064.42,Stop Loss,-192.72,96033.67
227,2026-02-12 12:15:00,2026-02-12 15:10:00,Short,5063.2,5065.71,0.26,5070.73,Opposite Signal,-65.26,95968.41
228,2026-02-12 15:10:00,2026-02-12 16:15:00,Long,5065.71,5058.23,0.26,5058.23,Stop Loss,-194.52,95773.9
229,2026-02-12 16:15:00,2026-02-12 16:30:00,Short,5058.11,5069.66,0.17,5069.66,Stop Loss,-196.4,95577.49
230,2026-02-12 17:45:00,2026-02-12 17:55:00,Long,5073.17,5061.9,0.17,5061.9,Stop Loss,-191.56,95385.93
231,2026-02-12 18:05:00,2026-02-12 19:05:00,Short,5049.77,4961.36,0.15,5062.4,Opposite Signal,1326.15,96712.08
232,2026-02-12 19:05:00,2026-02-12 20:05:00,Long,4961.36,4926.67,0.05,4926.67,Stop Loss,-173.43,96538.66
233,2026-02-12 20:15:00,2026-02-12 20:30:00,Short,4907.54,4935.68,0.07,4935.68,Stop Loss,-197.01,96341.65
234,2026-02-13 01:30:00,2026-02-13 01:35:00,Long,4924.37,4906.81,0.11,4906.81,Stop Loss,-193.16,96148.49
235,2026-02-13 07:30:00,2026-02-13 09:15:00,Short,4967.34,4974.51,0.18,4978.4,Opposite Signal,-129.06,96019.43
236,2026-02-13 09:15:00,2026-02-13 12:45:00,Long,4974.51,4960.17,0.13,4960.17,Stop Loss,-186.44,95832.99
237,2026-02-13 12:55:00,2026-02-13 14:05:00,Short,4949.87,4962.15,0.16,4962.15,Stop Loss,-196.54,95636.45
238,2026-02-13 14:15:00,2026-02-13 21:55:00,Long,4967.5,5023.4,0.15,4954.71,Opposite Signal,838.5,96474.95
239,2026-02-13 21:55:00,2026-02-13 22:00:00,Short,5023.4,5032.92,0.21,5032.92,Stop Loss,-199.84,96275.11
240,2026-02-13 23:50:00,2026-02-16 01:00:00,Long,5042.49,5034.54,0.25,5034.54,Stop Loss,-198.85,96076.26
241,2026-02-16 01:00:00,2026-02-16 01:15:00,Short,5014.35,5025.81,0.17,5025.81,Stop Loss,-194.83,95881.43
242,2026-02-16 08:35:00,2026-02-16 09:05:00,Long,4997.49,4990.62,0.29,4990.62,Stop Loss,-199.28,95682.14
243,2026-02-16 13:05:00,2026-02-16 13:45:00,Short,5001.71,5008.05,0.31,5008.05,Stop Loss,-196.52,95485.63
244,2026-02-16 19:00:00,2026-02-17 01:00:00,Long,4992.77,4986.11,0.3,4986.11,Stop Loss,-199.69,95285.94
245,2026-02-17 02:00:00,2026-02-17 03:35:00,Short,4985.24,4958.59,0.25,4993.08,Opposite Signal,666.25,95952.19
246,2026-02-17 03:35:00,2026-02-17 06:00:00,Long,4958.59,4950.66,0.17,4946.88,Opposite Signal,-134.81,95817.38
247,2026-02-17 06:00:00,2026-02-17 06:25:00,Short,4950.66,4958.64,0.25,4958.64,Stop Loss,-199.62,95617.76
248,2026-02-17 09:35:00,2026-02-17 12:45:00,Long,4919.91,4916.02,0.16,4907.46,Opposite Signal,-62.24,95555.52
249,2026-02-17 12:45:00,2026-02-17 13:10:00,Short,4916.02,4925.51,0.21,4925.51,Stop Loss,-199.25,95356.27
250,2026-02-17 14:05:00,2026-02-17 14:55:00,Long,4937.71,4928.76,0.22,4928.76,Stop Loss,-196.87,95159.4
251,2026-02-17 15:05:00,2026-02-17 20:25:00,Short,4924.57,4887.09,0.22,4933.28,Opposite Signal,824.56,95983.96
252,2026-02-17 20:25:00,2026-02-18 01:00:00,Long,4887.09,4873.07,0.14,4873.07,Stop Loss,-196.3,95787.66
253,2026-02-18 01:00:00,2026-02-18 01:10:00,Short,4870.33,4880.41,0.19,4880.41,Stop Loss,-191.45,95596.21
254,2026-02-18 03:05:00,2026-02-18 08:10:00,Long,4887.68,4926.12,0.15,4874.48,Opposite Signal,576.6,96172.81
255,2026-02-18 08:10:00,2026-02-18 08:25:00,Short,4926.12,4932.39,0.31,4932.39,Stop Loss,-194.5,95978.31
